Sp,K,N,P,1Cpg,Order
Bupleurum salicifolium,#¡DIV/0!,0.914176467,0.218831765,0.79,Apiales
Hedera helix,1.532654867,1.566741485,0.112896,4.5,Apiales
Ilex aquifolium,0.905285617,1.302583673,0.102974469,20.4,Aquifoliales
Ilex paraguariensis,1.1133,2.148125,0.15118125,17.6,Aquifoliales
Ilex verticillata,1.38,1.988970718,0.285358077,4.13,Aquifoliales
Chamaedorea alternans,4.29,1.41942,0.8136512,6.092,Arecales
Chamaedorea pinnatifrons,#¡DIV/0!,1.551671,0.4511841,3.315,Arecales
Elaeis guineensis,#¡DIV/0!,1.906666667,#¡DIV/0!,6.48,Arecales
Euterpe precatoria,#¡DIV/0!,1.695,0.098,5.3,Arecales
Iriartea deltoidea,0.9354611,2.26067,0.1652836,24.6,Arecales
Socratea exorrhiza,#¡DIV/0!,2.21883,0.13215415,9.2,Arecales
Ruscus aculeatus,1.494768503,2.348572222,0.21738431,61.64387754,Asparagales
Ambrosia dumosa,#¡DIV/0!,1.432,#¡DIV/0!,3.96,Asterales
Artemisia absinthium,1.306,0.995644765,0.276928299,4.71,Asterales
Artemisia barrelieri,1.372961792,3.159483333,0.081328049,12.96,Asterales
Artemisia californica,#¡DIV/0!,0.285486464,#¡DIV/0!,4.285,Asterales
Artemisia frigida,1.653999145,2.12097465,0.169022319,128.625,Asterales
Artemisia tridentata,0.8852,1.465906949,0.274578524,69.75,Asterales
Dasyphyllum diacanthoides,#¡DIV/0!,1.384385,#¡DIV/0!,4.22,Asterales
Helichrysum stoechas,1.756382479,2.341066667,0.09294584,2.78,Asterales
Illicium anisatum,#¡DIV/0!,1.355557138,#¡DIV/0!,3.4,Austrobaileyales
Carica papaya,0.889,4.64,0.27,0.4,Brassicales
Buxus sempervirens,0.754541667,1.512112655,0.101958333,70.005,Buxales
Atriplex canescens,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,1.637,Caryophyllales
Atriplex halimus,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,3.605,Caryophyllales
Bougainvillea spectabilis,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,4.4,Caryophyllales
Simmondsia chinensis,6.59,1.318778728,0.328835327,0.7375,Caryophyllales
Euonymus alatus,#¡DIV/0!,#¡DIV/0!,0.035,0.65,Celastrales
Euonymus bungeanus,#¡DIV/0!,2.903,0.201,0.44,Celastrales
Euonymus europaeus,1.001,1.941728507,0.190833334,2.82,Celastrales
Cornus alternifolia,0.7,1.7,0.11,0.965,Cornales
Cornus florida,0.938559921,1.132910702,0.359712954,5.88,Cornales
